gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,player_numeric
128,50,17,10,3,0,1,94,1,0,21,1,.126,167,.136,.162,.298,0,0,0,2,625,184,27,6,103,15,0,.278,2.94,0,167.00,374592.0
488,432,437,160,75,8,22,182,36,1,378,12,.269,1404,.292,.381,.673,7,12,.632,27,4775,1477,535,137,558,17,8,.295,0.99,0,63.82,684736.0
4,5,0,2,0,0,0,2,1,0,1,0,.125,8,.222,.125,.347,0,0,0,1,35,9,1,0,2,0,0,.167,5.00,0,0,658304.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257856.0
6,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751104.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297344.0
101,65,76,31,14,0,11,76,16,1,56,3,.208,269,.257,.383,.640,1,1,.500,7,1187,292,103,31,99,0,4,.242,0.86,0,24.46,40640.0
165,3,0,0,0,0,0,3,0,0,0,0,.000,4,.000,.000,.000,0,0,0,0,20,6,0,0,2,2,0,.000,3.00,0,0,81600.0
634,705,588,369,154,7,93,564,152,3,755,16,.290,2601,.332,.462,.794,19,58,.753,63,10311,2780,1202,356,951,0,11,.339,1.20,0,27.97,866496.0
153,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536256.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171264.0
28,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720896.0
283,3,0,0,0,0,0,6,0,0,0,0,.000,8,.000,.000,.000,0,0,0,0,39,9,0,0,1,1,0,.000,3.00,0,0,20416.0
285,3,0,0,0,0,0,10,1,0,0,0,.000,12,.077,.000,.077,0,0,0,0,55,14,0,0,3,1,0,.000,3.00,0,0,526080.0
