gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,2024 OPS,player_numeric
1937,1734,2123,1103,411,58,259,1193,724,62,1885,204,0.275,6857,0.358,0.465,0.823,22,154,0.875,93,30993,7863,3189,1025,2790,6,72,0.297,0.82,0,26.48,0,250816.0
8,1,0,0,0,0,0,1,0,0,1,0,.333,3,.333,.333,.666,0,0,0,0,9,3,1,0,1,0,0,.500,1.00,0,0,0.0,435264.0
391,378,412,201,71,14,44,309,80,5,351,38,.245,1433,.300,.406,.706,20,89,.817,16,5675,1568,582,157,557,7,10,.282,0.92,0,32.57,.747,135488.0
101,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465088.0
259,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637760.0
1446,1503,1327,769,328,17,263,1246,432,57,1587,125,.283,5607,.345,.488,.833,6,11,.647,187,24224,6220,2738,960,2307,0,56,.319,1.13,0,21.32,.362,890048.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491840.0
722,656,643,581,145,12,165,719,368,17,815,50,.289,2818,.379,.525,.904,49,196,.800,42,13207,3254,1479,417,890,0,15,.334,1.02,3,17.08,.716,710208.0
79,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580544.0
906,666,857,480,176,5,151,1010,359,12,821,12,.246,3331,.320,.438,.758,23,52,.693,63,14970,3727,1460,484,1487,4,19,.306,0.78,2,22.06,.793,208256.0
108,0,0,0,0,0,0,2,0,0,0,0,.000,2,.000,.000,.000,0,0,0,0,11,2,0,0,3,0,0,0,0,0,0,0,78720.0
185,112,119,45,30,4,13,172,48,1,113,11,.221,512,.300,.371,.671,1,1,.500,14,2299,575,190,49,235,1,3,.303,0.94,0,39.38,.628,405504.0
328,212,260,113,43,7,40,362,69,1,222,14,.211,1051,.268,.380,.648,14,22,.611,22,4644,1141,399,141,478,1,4,.279,0.82,2,26.28,.682,104128.0
35,0,0,0,0,0,0,2,0,0,0,0,.000,2,.000,.000,.000,0,0,0,0,8,2,0,0,3,0,0,0,0,0,0,0,933760.0
625,379,407,187,76,9,22,312,129,5,330,19,.237,1394,.307,.352,.659,8,19,.704,21,6069,1578,490,151,591,17,17,.286,0.93,2,63.36,.596,413888.0
795,494,676,288,107,2,114,622,235,11,594,22,.253,2348,.322,.446,.768,1,1,.500,67,11021,2658,1047,402,1009,0,38,.291,0.73,15,20.60,0,716928.0
7,2,4,2,1,0,0,14,2,0,3,1,.136,22,.231,.182,.413,0,0,0,0,101,26,4,2,11,0,1,.333,0.50,0,0,0,822784.0
960,909,838,364,160,25,72,679,226,14,726,15,.234,3109,.286,.371,.657,23,43,.652,72,12507,3393,1152,339,1320,16,27,.274,1.08,0,43.18,.562,323520.0
179,0,0,0,0,0,0,2,0,0,0,0,.000,2,.000,.000,.000,0,0,0,0,9,2,0,0,1,0,0,0,0,0,0,0,459712.0
488,432,437,160,75,8,22,182,36,1,378,12,.269,1404,.292,.381,.673,7,12,.632,27,4775,1477,535,137,558,17,8,.295,0.99,0,63.82,0,684736.0
895,824,1172,561,215,31,145,654,261,10,963,31,.269,3579,.322,.468,.790,20,86,.811,34,14446,3907,1675,519,1340,2,32,.291,0.70,2,24.68,.707,939200.0
154,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191744.0
151,26,1,2,2,0,0,99,5,0,7,2,.055,128,.104,.070,.174,0,0,0,0,546,140,9,4,67,5,0,.241,26.00,0,0,0,10432.0
192,115,112,58,14,5,12,135,44,2,93,3,.209,446,.281,.343,.624,2,4,.667,9,2085,502,153,47,211,3,6,.266,1.03,0,37.17,0,306048.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,870720.0
