2018 gamesPlayed,2018 groundOuts,2018 airOuts,2018 runs,2018 doubles,2018 triples,2018 homeRuns,2018 strikeOuts,2018 baseOnBalls,2018 intentionalWalks,2018 hits,2018 hitByPitch,2018 avg,2018 atBats,2018 obp,2018 slg,2018 ops,2018 caughtStealing,2018 stolenBases,2018 stolenBasePercentage,2018 groundIntoDoublePlay,2018 numberOfPitches,2018 plateAppearances,2018 totalBases,2018 rbi,2018 leftOnBase,2018 sacBunts,2018 sacFlies,2018 babip,2018 groundOutsToAirouts,2018 catchersInterference,2018 atBatsPerHomeRun,2019 gamesPlayed,2019 groundOuts,2019 airOuts,2019 runs,2019 doubles,2019 triples,2019 homeRuns,2019 strikeOuts,2019 baseOnBalls,2019 intentionalWalks,2019 hits,2019 hitByPitch,2019 avg,2019 atBats,2019 obp,2019 slg,2019 ops,2019 caughtStealing,2019 stolenBases,2019 stolenBasePercentage,2019 groundIntoDoublePlay,2019 numberOfPitches,2019 plateAppearances,2019 totalBases,2019 rbi,2019 leftOnBase,2019 sacBunts,2019 sacFlies,2019 babip,2019 groundOutsToAirouts,2019 catchersInterference,2019 atBatsPerHomeRun,2020 gamesPlayed,2020 groundOuts,2020 airOuts,2020 runs,2020 doubles,2020 triples,2020 homeRuns,2020 strikeOuts,2020 baseOnBalls,2020 intentionalWalks,2020 hits,2020 hitByPitch,2020 avg,2020 atBats,2020 obp,2020 slg,2020 ops,2020 caughtStealing,2020 stolenBases,2020 stolenBasePercentage,2020 groundIntoDoublePlay,2020 numberOfPitches,2020 plateAppearances,2020 totalBases,2020 rbi,2020 leftOnBase,2020 sacBunts,2020 sacFlies,2020 babip,2020 groundOutsToAirouts,2020 catchersInterference,2020 atBatsPerHomeRun,2021 gamesPlayed,2021 groundOuts,2021 airOuts,2021 runs,2021 doubles,2021 triples,2021 homeRuns,2021 strikeOuts,2021 baseOnBalls,2021 intentionalWalks,2021 hits,2021 hitByPitch,2021 avg,2021 atBats,2021 obp,2021 slg,2021 ops,2021 caughtStealing,2021 stolenBases,2021 stolenBasePercentage,2021 groundIntoDoublePlay,2021 numberOfPitches,2021 plateAppearances,2021 totalBases,2021 rbi,2021 leftOnBase,2021 sacBunts,2021 sacFlies,2021 babip,2021 groundOutsToAirouts,2021 catchersInterference,2021 atBatsPerHomeRun,2022 gamesPlayed,2022 groundOuts,2022 airOuts,2022 runs,2022 doubles,2022 triples,2022 homeRuns,2022 strikeOuts,2022 baseOnBalls,2022 intentionalWalks,2022 hits,2022 hitByPitch,2022 avg,2022 atBats,2022 obp,2022 slg,2022 ops,2022 caughtStealing,2022 stolenBases,2022 stolenBasePercentage,2022 groundIntoDoublePlay,2022 numberOfPitches,2022 plateAppearances,2022 totalBases,2022 rbi,2022 leftOnBase,2022 sacBunts,2022 sacFlies,2022 babip,2022 groundOutsToAirouts,2022 catchersInterference,2022 atBatsPerHomeRun,2023 gamesPlayed,2023 groundOuts,2023 airOuts,2023 runs,2023 doubles,2023 triples,2023 homeRuns,2023 strikeOuts,2023 baseOnBalls,2023 intentionalWalks,2023 hits,2023 hitByPitch,2023 avg,2023 atBats,2023 obp,2023 slg,2023 ops,2023 caughtStealing,2023 stolenBases,2023 stolenBasePercentage,2023 groundIntoDoublePlay,2023 numberOfPitches,2023 plateAppearances,2023 totalBases,2023 rbi,2023 leftOnBase,2023 sacBunts,2023 sacFlies,2023 babip,2023 groundOutsToAirouts,2023 catchersInterference,2023 atBatsPerHomeRun,player,2023 OPS
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,92.0,76.0,33.0,12.0,2.0,2.0,50.0,5.0,0.0,70.0,9.0,0.246,284.0,0.28,0.324,0.604,4.0,7.0,0.636,5.0,1008.0,302.0,92.0,21.0,117.0,2.0,2.0,0.291,1.21,0.0,142.0,151.0,150.0,163.0,83.0,28.0,6.0,18.0,118.0,32.0,2.0,138.0,13.0,0.245,563.0,0.3,0.412,0.712,4.0,47.0,0.922,7.0,2212.0,614.0,232.0,64.0,246.0,3.0,3.0,0.279,0.92,0.0,31.28,135488.0,.747
128.0,131.0,133.0,68.0,36.0,1.0,22.0,109.0,37.0,7.0,132.0,11.0,0.265,499.0,0.325,0.473,0.798,0.0,2.0,1.0,14.0,2108.0,553.0,236.0,78.0,174.0,0.0,6.0,0.294,0.98,0.0,22.68,159.0,165.0,147.0,85.0,38.0,1.0,33.0,152.0,36.0,4.0,180.0,13.0,0.284,634.0,0.33,0.503,0.833,2.0,2.0,0.5,24.0,2735.0,693.0,319.0,123.0,275.0,0.0,10.0,0.32,1.12,0.0,19.21,60.0,61.0,45.0,43.0,15.0,0.0,19.0,59.0,18.0,1.0,76.0,3.0,0.317,240.0,0.37,0.617,0.987,0.0,0.0,0.0,10.0,1027.0,262.0,148.0,60.0,106.0,0.0,1.0,0.35,1.36,0.0,12.63,152.0,156.0,129.0,86.0,30.0,2.0,30.0,143.0,61.0,3.0,148.0,22.0,0.261,566.0,0.351,0.481,0.832,0.0,1.0,1.0,28.0,2606.0,659.0,272.0,117.0,249.0,0.0,10.0,0.293,1.21,0.0,18.87,157.0,171.0,141.0,85.0,40.0,0.0,15.0,110.0,62.0,2.0,183.0,12.0,0.304,601.0,0.378,0.446,0.824,0.0,0.0,0.0,19.0,2730.0,679.0,268.0,75.0,260.0,0.0,4.0,0.35,1.21,0.0,40.07,141.0,139.0,149.0,62.0,23.0,1.0,18.0,130.0,42.0,1.0,128.0,6.0,0.237,540.0,0.296,0.383,0.679,1.0,0.0,0.0,16.0,2400.0,594.0,207.0,90.0,263.0,0.0,6.0,0.276,0.93,0.0,30.0,890048.0,.362
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,12.0,17.0,10.0,6.0,0.0,2.0,23.0,9.0,0.0,24.0,0.0,0.316,76.0,0.388,0.474,0.862,1.0,3.0,0.75,0.0,361.0,85.0,36.0,14.0,29.0,0.0,0.0,0.431,0.71,0.0,38.0,317056.0,.781
85.0,61.0,55.0,43.0,7.0,0.0,10.0,95.0,31.0,3.0,80.0,1.0,0.278,288.0,0.348,0.406,0.754,5.0,6.0,0.545,6.0,1329.0,323.0,117.0,34.0,143.0,1.0,2.0,0.378,1.11,0.0,28.8,152.0,136.0,111.0,69.0,25.0,1.0,20.0,153.0,46.0,1.0,135.0,3.0,0.254,531.0,0.317,0.418,0.735,2.0,4.0,0.667,9.0,2338.0,584.0,222.0,52.0,226.0,3.0,1.0,0.32,1.23,0.0,26.55,54.0,34.0,29.0,29.0,15.0,1.0,8.0,74.0,20.0,0.0,48.0,0.0,0.259,185.0,0.332,0.481,0.813,1.0,2.0,0.667,4.0,826.0,205.0,89.0,23.0,87.0,0.0,0.0,0.388,1.17,0.0,23.12,140.0,92.0,120.0,77.0,32.0,1.0,25.0,156.0,57.0,1.0,130.0,0.0,0.262,497.0,0.337,0.481,0.818,4.0,5.0,0.556,9.0,2221.0,555.0,239.0,73.0,201.0,0.0,1.0,0.331,0.77,0.0,19.88,139.0,105.0,162.0,83.0,31.0,0.0,31.0,166.0,49.0,3.0,134.0,1.0,0.238,563.0,0.298,0.458,0.756,3.0,8.0,0.727,11.0,2466.0,617.0,258.0,98.0,250.0,0.0,4.0,0.278,0.65,0.0,18.16,149.0,114.0,160.0,73.0,29.0,2.0,24.0,165.0,71.0,1.0,120.0,6.0,0.217,553.0,0.31,0.407,0.717,3.0,5.0,0.625,12.0,2596.0,638.0,225.0,80.0,255.0,0.0,6.0,0.259,0.71,2.0,23.04,208256.0,.793
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,10.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,5.0,0.0,0.128,39.0,0.125,0.128,0.253,2.0,1.0,0.333,0.0,138.0,40.0,5.0,1.0,16.0,0.0,1.0,0.208,0.9,0.0,0.0,803712.0,.603
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,19.0,18.0,13.0,8.0,1.0,2.0,40.0,15.0,0.0,22.0,6.0,0.222,99.0,0.358,0.384,0.742,0.0,0.0,0.0,2.0,539.0,120.0,38.0,10.0,56.0,0.0,0.0,0.351,1.06,0.0,49.5,48.0,35.0,36.0,14.0,4.0,0.0,5.0,46.0,12.0,0.0,25.0,1.0,0.176,142.0,0.245,0.31,0.555,1.0,0.0,0.0,2.0,612.0,155.0,44.0,10.0,62.0,0.0,0.0,0.22,0.97,0.0,28.4,44.0,23.0,38.0,8.0,13.0,2.0,4.0,45.0,11.0,0.0,39.0,2.0,0.273,143.0,0.331,0.476,0.807,0.0,0.0,0.0,5.0,566.0,158.0,68.0,21.0,61.0,1.0,1.0,0.368,0.61,0.0,35.75,405504.0,.628
114.0,78.0,97.0,42.0,23.0,1.0,6.0,82.0,24.0,2.0,84.0,1.0,0.251,335.0,0.301,0.379,0.68,1.0,5.0,0.833,4.0,1414.0,366.0,127.0,39.0,139.0,4.0,2.0,0.313,0.8,0.0,55.83,84.0,55.0,58.0,34.0,8.0,3.0,5.0,40.0,20.0,1.0,55.0,6.0,0.272,202.0,0.349,0.416,0.765,2.0,0.0,0.0,2.0,870.0,236.0,84.0,22.0,79.0,2.0,4.0,0.311,0.95,2.0,40.4,44.0,20.0,29.0,10.0,7.0,0.0,0.0,23.0,11.0,0.0,17.0,1.0,0.191,89.0,0.287,0.27,0.557,0.0,1.0,1.0,3.0,406.0,101.0,24.0,3.0,46.0,0.0,0.0,0.258,0.69,0.0,0.0,109.0,46.0,53.0,32.0,9.0,2.0,5.0,42.0,21.0,0.0,45.0,2.0,0.247,182.0,0.327,0.401,0.728,0.0,0.0,0.0,4.0,835.0,209.0,73.0,28.0,74.0,1.0,3.0,0.29,0.87,0.0,36.4,37.0,31.0,25.0,8.0,3.0,0.0,0.0,25.0,11.0,0.0,17.0,1.0,0.175,97.0,0.264,0.206,0.47,0.0,1.0,1.0,2.0,422.0,110.0,20.0,7.0,49.0,0.0,1.0,0.233,1.24,0.0,0.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,10.0,0.091,0.0,0.091,0.0,0.0,0.0,0.0,53.0,11.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,413888.0,.596
153.0,145.0,147.0,61.0,33.0,5.0,16.0,109.0,40.0,2.0,121.0,2.0,0.234,516.0,0.29,0.411,0.701,4.0,5.0,0.556,15.0,2124.0,564.0,212.0,70.0,213.0,1.0,5.0,0.265,0.99,0.0,32.25,158.0,176.0,139.0,79.0,33.0,6.0,19.0,113.0,52.0,2.0,141.0,4.0,0.254,556.0,0.316,0.437,0.753,2.0,8.0,0.8,15.0,2357.0,625.0,243.0,82.0,239.0,1.0,12.0,0.28,1.27,0.0,29.26,57.0,60.0,40.0,29.0,10.0,1.0,5.0,46.0,18.0,0.0,53.0,0.0,0.266,199.0,0.327,0.402,0.729,0.0,4.0,1.0,3.0,832.0,217.0,80.0,29.0,80.0,0.0,0.0,0.324,1.5,0.0,39.8,129.0,126.0,111.0,46.0,30.0,3.0,5.0,104.0,34.0,3.0,96.0,2.0,0.221,434.0,0.28,0.339,0.619,2.0,7.0,0.778,9.0,1777.0,473.0,147.0,38.0,193.0,2.0,1.0,0.279,1.14,0.0,86.8,17.0,16.0,9.0,7.0,2.0,0.0,3.0,15.0,2.0,0.0,12.0,0.0,0.231,52.0,0.259,0.442,0.701,1.0,0.0,0.0,2.0,211.0,54.0,23.0,7.0,23.0,0.0,0.0,0.265,1.78,0.0,17.33,72.0,46.0,58.0,14.0,10.0,1.0,2.0,52.0,12.0,0.0,42.0,0.0,0.212,198.0,0.257,0.303,0.56,1.0,5.0,0.833,0.0,776.0,210.0,60.0,17.0,92.0,0.0,0.0,0.278,0.79,0.0,99.0,323520.0,.562
158.0,154.0,206.0,105.0,40.0,5.0,24.0,116.0,36.0,0.0,167.0,5.0,0.261,639.0,0.305,0.452,0.757,3.0,14.0,0.824,9.0,2386.0,684.0,289.0,72.0,223.0,1.0,3.0,0.285,0.75,0.0,26.62,160.0,149.0,194.0,102.0,43.0,8.0,24.0,112.0,54.0,6.0,189.0,4.0,0.295,640.0,0.352,0.5,0.852,4.0,15.0,0.789,2.0,2494.0,702.0,320.0,86.0,209.0,0.0,4.0,0.325,0.77,0.0,26.67,29.0,24.0,32.0,21.0,5.0,0.0,6.0,30.0,5.0,0.0,32.0,1.0,0.271,118.0,0.306,0.466,0.772,1.0,3.0,0.75,0.0,444.0,124.0,55.0,19.0,53.0,0.0,0.0,0.317,0.75,0.0,19.67,156.0,125.0,220.0,103.0,40.0,7.0,30.0,128.0,47.0,2.0,163.0,3.0,0.259,629.0,0.31,0.488,0.798,4.0,20.0,0.833,4.0,2608.0,686.0,307.0,106.0,233.0,0.0,7.0,0.278,0.57,0.0,20.97,64.0,59.0,84.0,36.0,16.0,0.0,8.0,47.0,16.0,0.0,61.0,2.0,0.247,247.0,0.294,0.409,0.703,5.0,3.0,0.375,0.0,1027.0,269.0,101.0,35.0,98.0,0.0,4.0,0.27,0.7,0.0,30.88,148.0,144.0,186.0,96.0,30.0,5.0,33.0,107.0,46.0,2.0,167.0,8.0,0.28,596.0,0.336,0.513,0.849,1.0,13.0,0.929,9.0,2563.0,660.0,306.0,109.0,230.0,0.0,8.0,0.289,0.77,2.0,18.06,939200.0,.707
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,101.0,79.0,31.0,13.0,0.0,4.0,64.0,19.0,0.0,62.0,1.0,0.207,299.0,0.256,0.291,0.547,2.0,3.0,0.6,5.0,1154.0,326.0,87.0,19.0,114.0,6.0,1.0,0.25,1.28,0.0,74.75,106.0,105.0,87.0,29.0,4.0,2.0,4.0,52.0,17.0,0.0,67.0,1.0,0.221,303.0,0.263,0.287,0.55,1.0,5.0,0.833,8.0,1168.0,329.0,87.0,20.0,106.0,6.0,2.0,0.253,1.21,0.0,75.75,859776.0,.463
