gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,player_numeric
300,2,1,0,0,0,0,4,0,0,0,0,.000,7,.000,.000,.000,0,0,0,1,23,7,0,0,2,0,0,.000,2.00,0,0,603392.0
441,397,88,46,11,1,1,211,34,0,113,4,.162,698,.205,.185,.390,0,1,1.000,15,3092,847,129,40,378,110,1,.230,4.51,0,698.00,411712.0
29,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462400.0
139,4,0,0,0,0,0,5,1,0,3,0,.250,12,.308,.250,.558,0,0,0,0,54,13,3,0,1,0,0,.429,4.00,0,0,762048.0
1186,1249,991,590,182,33,71,926,453,17,1144,33,.267,4278,.341,.375,.716,40,91,.695,67,18871,4797,1605,369,1397,15,17,.325,1.26,1,60.25,59200.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814912.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636032.0
238,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719040.0
187,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,859072.0
15,1,0,0,0,0,0,1,0,0,0,0,.000,2,.000,.000,.000,0,0,0,0,12,2,0,0,3,0,0,.000,1.00,0,0,447040.0
165,65,57,59,11,4,7,69,18,0,65,3,.258,252,.314,.417,.731,12,58,.829,4,999,278,105,33,116,3,1,.328,1.14,1,36.00,461952.0
79,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549888.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682496.0
21,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466304.0
165,3,0,0,0,0,0,3,0,0,0,0,.000,4,.000,.000,.000,0,0,0,0,20,6,0,0,2,2,0,.000,3.00,0,0,81600.0
534,574,393,233,91,2,95,482,138,3,528,11,.269,1966,.318,.462,.780,0,3,1.000,57,7558,2126,908,298,819,0,11,.309,1.46,0,20.70,695488.0
235,137,153,72,24,4,20,188,43,0,121,8,.204,594,.265,.359,.624,1,5,.833,17,2496,650,213,79,263,2,3,.260,0.90,0,29.70,927616.0
140,88,58,61,21,5,13,150,45,0,99,2,.254,389,.333,.434,.767,5,23,.821,1,1777,442,169,40,173,4,2,.377,1.52,0,29.92,503104.0
23,0,0,0,0,0,0,1,0,0,0,0,.000,1,.000,.000,.000,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,640.0
318,330,74,27,1,0,0,178,17,0,55,1,.101,545,.129,.103,.232,0,1,1.000,6,2154,655,56,18,314,90,2,.149,4.46,0,0,782464.0
69,1,0,0,0,0,0,0,0,0,0,0,.000,1,.000,.000,.000,0,0,0,0,2,1,0,0,1,0,0,.000,1.00,0,0,646976.0
28,3,0,0,0,0,0,1,0,0,0,0,.000,4,.000,.000,.000,0,0,0,1,12,4,0,0,3,0,0,.000,3.00,0,0,144320.0
52,9,0,0,1,0,0,29,1,0,2,0,.054,37,.079,.081,.160,0,0,0,0,146,41,3,0,28,3,0,.250,9.00,0,0,101184.0
157,103,141,51,22,1,13,115,23,0,89,5,.201,442,.248,.344,.592,0,6,1.000,8,1793,476,152,53,208,4,2,.241,0.73,0,34.00,177408.0
391,378,412,201,71,14,44,309,80,5,351,38,.245,1433,.300,.406,.706,20,89,.817,16,5675,1568,582,157,557,7,10,.282,0.92,0,32.57,135488.0
414,297,209,90,42,3,5,167,114,4,221,2,.251,882,.336,.322,.658,4,8,.667,34,4237,1010,284,58,405,8,4,.303,1.42,0,176.40,580608.0
779,900,644,402,162,6,78,481,358,9,807,24,.287,2815,.370,.432,.802,7,9,.563,79,12488,3214,1215,352,1046,0,17,.321,1.40,0,36.09,348544.0
298,267,298,103,57,4,28,194,55,1,269,17,.263,1023,.310,.409,.719,3,3,.500,40,4024,1100,418,133,459,0,5,.299,0.90,0,36.54,16064.0
643,461,517,285,98,11,76,603,264,4,428,30,.216,1982,.315,.392,.707,12,47,.797,29,9596,2306,776,259,827,14,13,.267,0.89,3,26.08,663744.0
740,673,627,247,124,4,63,489,176,4,590,13,.250,2360,.304,.386,.690,2,2,.500,78,9772,2568,911,301,1097,2,17,.289,1.07,0,37.46,639360.0
35,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197824.0
